RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1319.1597575176163,1325.2916445273424,1335.4214884829958,1330.3962706618506,1319.481642568002,1305.9432289579431,1304.1026954839324,1304.3449039647153,1306.998963275363,1310.8571976007229,1316.2232279729146,1318.3387920549123,1318.9347360660609,1315.868293557662,1320.1166338060586,1330.769492455817,1349.2731134177875,1371.7442492228156,1391.8935939823975,1411.8573903055992,1427.8286688771643,1439.542551441724,1447.9854366007853,1454.129952781143,1463.52772190566,1473.4747321291356,1480.96540638065,1489.490050232466,1495.8225875439591,1502.5504482603062,1505.7186869393372,1510.366906419492,1513.0139980773902,1516.0747976221269,1519.0181696516784,1522.61625064807,1528.9841660306324,1536.8403294756583,1542.2106365132408,1545.249056616988,1546.7637993481494,1546.5713898298336,1547.972384606478,1547.9615894442172,1551.0200128898532,1555.4911678123033,1561.182540017759,1567.7435724638794,1570.567848060865,1572.2500761629317
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1151.1487267101138,1154.8901005930063,1156.3378108689665,1155.0839617526813,1151.198297490303,1149.3865404117191,1149.1560768877384,1150.236243664665,1152.5742570979696,1158.0766171169385,1165.9191598207076,1172.7822677633826,1176.4334553865149,1180.0215417479308,1184.7272188536615,1197.3684775589384,1211.4916341079236,1229.495163073384,1248.2931450675333,1269.7923497540291,1290.4862851643943,1307.4001527701623,1320.0525561012078,1330.538093388287,1338.630661793291,1347.3470881668293,1355.883683319324,1365.5605451105346,1377.055784594008,1385.0563453275358,1393.0247954305628,1392.320196502229,1392.1173719954545,1389.4493404234022,1390.8212973543648,1393.2863941915352,1400.7756792791793,1403.9577544630888,1408.340369285282,1407.6346552094435,1404.7492804373328,1401.508610701064,1397.08961746658,1397.031326345322,1396.3161241292942,1398.199216569932,1398.066707293402,1397.4666388220169,1394.0411112779025,1392.6209143469002
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1360.713572819207,1361.234265950743,1372.990154865099,1368.1353628091902,1360.9291978685517,1349.8316473749533,1345.9311290610249,1345.8370266059817,1351.4048071210964,1359.428876267382,1369.4878884156185,1377.3274260840517,1377.854969273578,1379.8603355178775,1387.136153193543,1405.1859710896515,1428.330326491832,1450.0590230711216,1475.62440045866,1500.0585683321517,1526.1632033231135,1546.2325777991862,1565.4781653484663,1583.8893026766875,1603.9527121604096,1623.6117547636024,1632.3547774660797,1645.942153623908,1658.907815806653,1684.1637861621991,1697.676072741817,1703.4446768746402,1701.1737849910894,1694.8196881471035,1695.3266021187137,1694.8584405269685,1699.327022695683,1701.6290914400936,1708.7988245158256,1708.2909887140431,1705.5811977640635,1694.9163949068652,1689.4501401780938,1689.2581070411704,1692.5139422255825,1701.1219752664772,1704.075402157778,1708.206896385317,1708.551038065902,1709.8073064244652
10221,10,Austin,city,TX,TX,"Austin-Round Rock-Georgetown, TX",Travis County,1414.4466447170685,1419.2410487345032,1421.3449139617337,1411.5227905155737,1397.3799803445852,1381.651766201765,1372.7981746356302,1369.0789762041557,1365.222069984953,1367.039792937278,1377.3741450096502,1388.0539319914549,1399.227386492089,1408.8302812593415,1423.0515835965684,1447.5465519286518,1480.5588509604297,1521.6473821043858,1561.8719760151291,1603.5119876036968,1641.672921532814,1667.7336666046922,1681.1487248147653,1696.1891857170535,1706.5107638828365,1723.1445795432708,1730.6397562660804,1748.28138836977,1762.73179996893,1777.9543275984663,1784.6499981034135,1784.9133787140768,1782.833045707255,1778.2828790893764,1775.5922234474815,1772.0698714445762,1774.4060541233123,1775.4712974734086,1778.7917045915815,1770.2529357802969,1759.8142018932394,1744.4350901956263,1734.1604509284286,1726.3308333186342,1721.5668924525817,1722.491439034148,1725.2811472540002,1726.5299726999056,1724.3196887795195,1719.2937680843927
18172,15,Fort Worth,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,1317.0229167992386,1327.468845700234,1330.7508779827124,1332.13261380196,1327.2716667522857,1328.4480555932355,1330.576300639269,1336.619610453526,1345.107199027177,1355.4453977417768,1364.5348521493695,1370.7820103187344,1380.3161638269262,1386.1279465334687,1391.73385596613,1401.297765718621,1412.591026227564,1431.1663969579806,1451.8379845826516,1476.282235813428,1499.346857922778,1516.8200964899552,1534.093559142828,1549.7603690622625,1564.1625999319117,1576.3270543556202,1589.5739691830622,1604.7566353814177,1619.8314162776871,1632.6282769473166,1641.897655960637,1646.655838965064,1645.8107817891005,1643.4441683348384,1643.9176920177742,1649.1073764469447,1656.677229351916,1664.5170421043515,1669.9570864151997,1672.2544049664098,1674.274400880574,1672.4357864428853,1671.1901234206416,1670.0817552323022,1672.8520822787034,1678.668351656381,1681.947801232156,1682.1467010041831,1679.3876429507948,1677.156929963422
17933,22,El Paso,city,TX,TX,"El Paso, TX",El Paso County,1076.3109664954604,1083.2524637734796,1091.4043408100365,1095.2481787680017,1096.885578847959,1102.2618638597169,1112.7630773668852,1122.3584377891789,1129.7285657705572,1135.8901770106029,1143.9568771729007,1151.420695699339,1155.364725778015,1157.9989537387482,1166.3351688555324,1183.6819652098168,1200.060125412547,1206.6658431062244,1215.9976941005343,1229.6508740815568,1251.6846265033912,1265.7155194100565,1278.204576590057,1294.7958042790858,1311.4793695253002,1331.5681888035149,1342.1847229893483,1351.593095162803,1371.030907848822,1394.9529113395324,1411.6018345614068,1412.795584873065,1413.7540537481766,1417.9513585582954,1429.1989816859736,1432.7870538135908,1444.529317175471,1449.153611251846,1458.5271658328354,1464.320687677308,1462.858306009096,1462.3565966258004,1464.724299025933,1476.693553754957,1484.4598918893128,1494.0542086053356,1497.9769743305349,1505.3264938613702,1506.5051142488865,1511.309130815897
7204,55,Spring,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1389.039940894302,1398.1043095481357,1397.1255158362785,1394.0810588933944,1383.9070654936013,1382.2499783440585,1384.3873013026591,1389.9820452579686,1395.495506200942,1401.6756326361462,1411.7130616026786,1419.6965382330527,1420.721969547182,1416.640230380556,1422.645484958232,1432.9482328290603,1455.8807464605316,1472.3892514000074,1499.1127239850778,1524.6134852733692,1550.2557781063117,1566.3190191390315,1578.1213895538558,1592.72435069131,1607.8896405776377,1627.008301528229,1638.5895188997588,1651.4796816481185,1660.9360209535914,1673.28106079458,1675.8841527310933,1672.7868486298803,1666.8978213665089,1676.9209375983733,1682.7563514226256,1688.3191952676711,1685.780157705313,1695.6077366137877,1702.3173126494253,1706.2462798261254,1706.6549112434209,1706.4426120872454,1707.053900640641,1711.8263048437964,1718.3253859972683,1717.0039609092123,1719.7336110278836,1721.1172115180757,1729.2590980270973,1726.3401025479827
50763,58,Arlington,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,1212.5921431977863,1213.488222582553,1228.7401844586182,1226.1572779689295,1227.7698181055716,1223.7620724767048,1230.8708445196607,1239.1366554008378,1249.312704282119,1262.4989381408402,1270.73047273188,1279.5785875695583,1285.1718382792117,1291.966454385684,1303.8317240044184,1321.10655307034,1345.1362560882933,1368.4451300021767,1383.390573755214,1399.8958921077094,1413.9030148274817,1436.587535448015,1459.70707493216,1483.7382928007603,1493.8813887874785,1501.4100907595314,1500.235163221996,1515.0175249262593,1523.7419702188054,1537.7956001528607,1542.8227713763813,1554.2494629040866,1563.4844225040022,1569.3904911127995,1564.8868651718433,1560.6574250779474,1569.418277670764,1581.619863587418,1595.2430944313803,1595.086871587009,1594.4011936701315,1590.4653722897638,1594.8657580063773,1592.2586989202143,1591.292365884244,1586.9507744809991,1590.6163121013462,1592.5075444842278,1590.863230660462,1586.3892047069155
38025,75,Corpus Christi,city,TX,TX,"Corpus Christi, TX",Nueces County,1183.2410545796608,1191.4599497489485,1196.2343792058446,1190.7074724828135,1179.3120440694072,1182.2695296821678,1189.7967202531495,1203.3433640766996,1211.0107509434954,1217.8358350661956,1224.9502508426174,1232.864830185897,1235.1610729125596,1231.893537112873,1242.8780061311545,1259.0123210682284,1281.3027883186244,1296.3651002733225,1318.905969647689,1339.5968906688688,1346.6247932197386,1347.6661525291274,1351.9623704774374,1363.708505412475,1369.776796014448,1372.458509633793,1371.4593445615506,1374.176396407014,1378.8816429311094,1381.3416866795008,1383.08750488464,1384.149147107515,1390.259389363029,1392.705922697973,1394.0412495765515,1385.9198195505649,1394.003435441422,1403.1226281040526,1410.2235398323037,1413.325201551376,1413.2370014896958,1415.698362491636,1414.0852280123668,1412.8868489861993,1415.897521606213,1425.1187551410726,1433.6299437094035,1445.6226502514096,1448.856625978326,1454.1766602192135
53915,91,Plano,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Collin County,1386.3532719087552,1389.9402092663604,1389.5210473281757,1385.932291213825,1375.603234480187,1365.4205235170969,1359.630847171362,1359.428408467811,1362.0446485193552,1365.676504328815,1376.4656737947005,1383.1502701686218,1394.7526880025405,1400.8164628900372,1411.835487157265,1428.5497480012082,1457.9739006805496,1491.4219653969208,1528.320071615571,1570.8495825806294,1606.083274792839,1633.191336886671,1654.9693422187602,1678.944337757287,1698.5636260478664,1712.4542695623218,1724.6132834539796,1749.2071837347492,1769.5557782840183,1790.773931278973,1803.162635525722,1804.505451519046,1800.6634112643512,1796.6748917334944,1790.1649874684726,1786.8644766213586,1789.7969969214666,1798.7935527471996,1805.3661356102032,1799.1718843790018,1790.1712077811792,1778.0327292280515,1769.4592393397957,1764.5197515239845,1766.2656328355972,1771.6573216664526,1779.1618205786408,1783.1614631429934,1782.530131991802,1780.6014288335398
