RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,192076.57910228227,192844.4066626177,193549.04952048397,194049.30507861232,194129.75868815524,194176.13352930112,194548.9855371219,195562.80268338285,197090.8581718128,199042.02637420097,201498.500646208,203949.98801545668,206451.7901256249,208898.09955713173,211677.04212194995,214609.6354222313,217927.9657804951,221471.85832825853,224320.48427686736,226018.9996446464,226885.8464903876,228205.19755383872,230383.55905935992,233096.06669000335,237133.51461368904,242035.7870876405,247743.79184412677,252893.19745068465,257340.36997897064,261009.1685083461,263553.02127295645,264804.4258707794,265130.878031515,265158.1388723592,265146.9370978985,264550.55449574324,263287.426867522,261894.5308260447,260934.4407197466,260616.66153739908,260877.98152439328,261747.05803726037,262686.99226099835,263642.22110507457,264097.6748675674,264251.21574783203,264097.18112886243,263894.50032306486,264115.16603131866,264626.193653876
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,188593.85552095255,189721.37728223903,190678.15418532223,191295.32558400775,191543.2083657508,191729.9457597177,192343.80810888103,193460.5672464882,195323.8738640512,197633.5712736162,200344.1026358548,202871.53133869416,205293.7448359781,207753.91584310215,210620.8061614492,213750.32444593147,217175.573266267,220778.0754972015,223994.04241285377,226318.17184069008,227900.48183243605,229463.1790347068,231811.34615763384,234774.22566158135,238918.0491235023,243608.8018204978,248747.68495791536,253704.19388062623,258128.77957684064,261844.24920068705,264195.82276450744,265012.0489691625,264590.99094715115,263962.1356881464,263369.9336730152,262906.07243680727,262270.9351526899,261195.26741747747,260007.3391497844,258991.65111489943,258762.80362858903,259070.80428640152,259292.47894103444,259427.26891747807,258986.00463806943,258152.6648590546,256904.0548186004,255413.80488891143,254326.87422672284,253762.22422453552
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,216297.84453755716,218540.20842160276,220657.540404612,221487.94830993647,221130.2520262604,220346.4676639004,220200.1040531533,221221.1323088666,223255.4768037997,225839.44111347332,228998.6883021486,232330.39928786267,236092.47512084115,240328.4983668448,244936.7641709142,249341.8094303103,253300.14867726076,256840.85401615535,259171.5647220671,260113.3639208279,260343.2934715852,261135.85182748863,263111.1747460005,265871.2825062745,271341.7036678359,278744.4013771102,287453.61263910175,295309.4057300716,301893.1869834934,307102.60891392134,309901.7488784802,310340.70917463995,309401.27612212,308554.36563703284,307873.97198168427,306768.09343190066,305084.79475891544,303464.2366306895,302811.9759656321,302727.6292641593,303289.5698604677,303987.7062382393,304796.5751094864,305905.53858706105,306650.7795224909,307224.97302067606,307227.63995523046,306828.8703633631,307012.26629829285,307990.3361180607
10221,10,Austin,city,TX,TX,"Austin-Round Rock-Georgetown, TX",Travis County,382799.4579781841,386650.7685439437,390812.8119173393,394417.3192811445,396377.64250332885,397132.5836842624,398210.5481562593,401463.4261129478,407253.2742102227,414256.0058108524,422152.7392986361,430281.5787229033,439127.00979046506,449820.74649799167,464469.6280774098,484400.9819458597,508160.2223362185,530842.86542012,547051.2400365571,554925.5947893271,556574.3712275862,557165.2685645664,559529.3525724467,564771.4931253769,574630.9448605025,587672.7532627047,604667.246560013,621356.7749850348,635749.9838058869,643773.1299517587,642234.2790444011,632589.5572771411,618273.5812667547,605548.5840165084,595191.3324082989,586529.8538258112,577598.8553939349,569189.4271999489,561945.9950209319,557201.2531573157,554541.4443201005,553270.6241794863,552144.1437918842,551092.695892856,549462.3279097121,546396.907684864,542487.9786089459,538468.1347335231,535738.6610146031,533719.1323332309
18172,15,Fort Worth,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,208783.52658370032,209978.83227465363,211097.8995814421,211874.9409864557,212144.09797950424,212269.34712578016,212791.48075784548,214069.8191989323,216145.67288419427,218715.2670273824,221804.29359592483,224931.34063130672,228080.0585748204,231218.20212212708,234969.5325930651,239275.1160653864,244407.09638661504,249669.99680554625,254468.9424939186,258188.12287214267,261234.33982813757,264504.43130492413,268525.8674910364,272876.82376885874,278694.2134881397,285614.7115035916,293508.9368420676,301265.9391947777,308300.7700562685,314461.2600508773,318232.7375877476,319274.9134614794,318357.5908529162,316692.9140125771,314867.9873090685,312450.79292341106,309364.564139222,306479.4846325381,304145.0781372148,302723.94094020955,302020.340768394,302037.2046599172,302393.26889758214,302811.12282114726,302913.33510351053,302876.71429687,302707.32248758455,302479.6567700749,302375.6508916929,302358.8640129177
17933,22,El Paso,city,TX,TX,"El Paso, TX",El Paso County,142235.62115848096,142918.2319222025,143625.56839235852,144460.32146994173,145165.19097607947,145845.3547465656,146565.84783381302,147610.51705521267,149154.3990563279,151067.54527757358,153150.57441621894,154935.45314787255,156547.47907762005,158251.05384193122,160121.87353011756,162298.83720074475,164655.94096842996,167313.76630696916,169715.3980441573,171654.34727082623,172966.72846712466,174090.33411795236,175534.2124401254,177356.13440659828,179921.75764819095,182707.9386995505,185668.9561708117,188649.81289589367,191573.93220802976,194627.2044596369,197224.47877924665,199164.14633396245,200357.16156920744,201120.11818366044,201894.71663634325,202651.6810575547,203434.86568080707,204137.7702205824,205042.3067091823,206240.02823487023,208165.96950309115,210041.42613287945,211601.81527865247,212744.65983454112,213519.57565824644,214154.7063238623,214411.5936203047,214789.95130566583,215566.80590961,216672.89338164683
7204,55,Spring,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,254760.7664773173,255679.23171332097,256497.2410867594,257002.07436854384,257037.89383711704,257113.68213765603,257718.6519291236,259038.2005254352,261004.04683113343,263525.8969567455,266792.64321893285,270121.8970602634,273505.2776848657,276856.3910515333,280701.2806628183,284966.72404387133,290007.43283808866,295598.1422551533,301018.41443770536,305601.09606610815,309328.5255251841,313206.6369614973,317502.83177735214,322150.11107339925,327681.748239865,334078.42212270334,341435.0647079531,348803.4474639431,355835.2433804927,362069.8594836763,366419.8859891792,368114.26439861534,367890.2271932094,366959.4085226613,365938.9714701499,364115.9011243914,361750.4201317832,359499.4749046352,357785.28514581994,356650.2315144117,356192.6819646999,356587.4207056374,357265.1417614319,357991.9643969525,358152.76955712214,357821.683052656,357236.3491243196,356968.9360012237,357449.100736314,358530.821439294
50763,58,Arlington,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,215200.80379706837,216624.36111212577,217983.27616496253,218862.8386843321,219137.9505642924,219247.3405090616,219895.18801932325,221324.77656895024,223624.62494203416,226367.4427196232,229721.4383577694,233095.72564198464,236540.6648258829,239871.13587439447,243649.0660376132,247706.18363144,252436.38306256232,257277.31528142584,261526.6182252837,264401.6359350669,266176.10902033123,268287.72738327767,271590.9554619672,275702.59872737015,281653.9610919717,288898.3150569704,297201.5190162218,305284.4851934256,312388.3367058963,318535.0686916374,322372.3707119123,323626.7529868985,323057.348298261,321827.0671076116,320520.4415677288,318690.9773007944,315984.1837677621,313409.43312336627,311406.3840612534,310452.20269667514,310568.56663649715,311403.8356858817,312713.07769160025,313925.8832783298,314700.8500802405,314953.8771549656,314813.4057676438,314696.17137477634,314891.8856499625,315222.1987008148
38025,75,Corpus Christi,city,TX,TX,"Corpus Christi, TX",Nueces County,176948.17968412125,177512.0042616426,177613.7601629625,178109.066778378,178575.33476445312,179386.92665593335,180816.13984487572,182924.51890365497,185186.05906995133,186132.4490039139,186258.95493360705,185809.5773754981,186672.58891642603,188554.43972735552,191055.469750228,193598.80125661613,195378.240255099,197064.29516635704,198198.44672447475,199372.7902593508,200190.56600379376,200991.47218018945,202385.12205126692,203931.8334850588,205969.54151608123,207766.2048658029,209961.98520886968,211935.58308063215,213952.99206293936,215582.9934416988,216500.04619751032,216484.337891927,215956.52230870188,215742.332635948,215631.0999398878,215172.8347332025,214392.0145463408,213430.9758208975,212930.1754085768,213149.78457470195,214167.00164601943,215496.25799873375,216359.55526649536,216884.03251951767,216710.53716513296,216304.76691453657,215539.73325128632,214684.13755631968,214297.52722354667,214379.68438172483
53915,91,Plano,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Collin County,341561.8856878979,343587.37164642895,345542.4107996329,346471.2289642019,346168.96647608915,345739.27185311384,345860.587060802,347361.1180933009,350238.6382742001,354085.82745796646,358354.3429489417,362501.76493334817,366724.8551116166,371660.6327784993,377487.0555130809,384605.959371929,393234.62747225794,402158.6390845708,409765.58576345706,415102.7929141981,418845.2378375738,422860.4412213666,428017.7874783254,434526.3083130532,444682.5306461698,457603.4947087807,472304.3214845064,487094.46501698816,500475.2505436638,511643.92306982056,516167.9052204417,514933.0206850019,510270.310389522,506295.0338041744,503474.7144374064,501978.8618292769,500967.5826010147,500403.1939211207,500785.6225720285,502273.8385678253,505819.0948257434,509857.8639160823,513585.7668857732,516397.6173076416,518330.0956329229,519042.6793454344,519187.3849513038,518610.33624496247,518886.32335690944,520694.7336303989
53060,92,Lubbock,city,TX,TX,"Lubbock, TX",Lubbock County,150943.48300529207,151829.0323166988,152820.75292841496,153630.661333006,154257.64283701355,154953.68532193778,155938.5331010332,157108.2769847815,158395.67730591624,159768.01890563933,161383.43219701946,162780.40805123525,164121.13618801165,165632.84591112615,167447.19484505206,169585.40060039112,171908.57736129846,174843.1707097226,177453.84986763308,179312.2742314923,180240.7301387617,181041.75021039965,182161.9640290044,183399.0020261033,185562.46877902048,188589.0877244665,192441.74183390764,196299.2417327433,199581.40051300995,202413.9339830072,204243.6835453827,205036.59340514732,205027.1795288789,204919.8077685817,205040.451479352,204986.5627176199,204765.0420782251,204565.3710864652,204625.19667261757,204999.55994473808,205782.42332309505,206672.93827814877,207086.6915285985,207048.11169043544,206725.77647590285,206237.7766052517,205507.92746180703,204593.02231574373,204238.0437575036,204531.8509233269
18800,94,Katy,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,243152.8843648392,243783.5456640553,244189.68893771063,244179.3106779999,243849.7151364136,243772.63070703324,244147.6418805116,245133.04683439375,246659.84553038608,248794.19540122952,251646.6998709788,254720.36667115235,258011.4815557148,261351.57387150684,264971.94022577733,269029.3821215772,273931.21821976337,279327.51808459027,284843.2901626897,289836.5035886791,294215.3481810046,298534.16851057514,303180.9482318604,308121.39458452933,313482.2077854467,319198.5001273437,325982.9979228522,333475.57370025915,341111.1387023568,348151.706228626,352554.1550212779,353759.14362316905,352252.8940727573,349937.97652597586,347704.8857332729,345611.6832243142,343350.875687077,341712.0184632679,340483.73192380724,340411.15139650967,340977.2696384026,342374.0349668928,343722.2246206558,344988.31461495784,345669.6056162403,345780.1117359367,345177.0512728271,344326.3913970976,344117.2029922084,344619.07219458494
52893,102,Laredo,city,TX,TX,"Laredo, TX",Webb County,167510.1319897546,168186.82731656492,168689.01444479774,169461.06175176,170270.65277762554,171332.80986702302,172687.8018585035,174437.85107802768,176094.9905092409,176609.52130439316,177217.12603047697,177999.4705854517,180224.14332212976,182403.93107979305,184063.2300359324,184816.56097672487,185653.35908319976,187313.17809515656,189573.46520056704,191238.49222117287,191887.5678598706,192362.0394442226,193546.22712848525,195155.47210137057,196239.00434714044,197340.388140686,198189.94460298785,199738.40317018467,201316.6967368737,203332.7738285341,204854.86699287797,205540.12907916144,205443.8039259301,204811.19336260625,204294.76416439787,204050.61799799325,204367.67502722176,204947.3720758838,206087.13464091337,207914.30449941204,209964.42754884585,211629.36232228015,212136.0199169944,212068.38114369064,211624.8389114275,210373.9710131816,208577.77363302055,206173.30788324727,204623.4649521004,203832.3046838251
12065,107,Irving,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,239294.3084448036,241392.7845684692,243164.29181547396,243977.03497665343,243918.92391982145,243485.4740769368,243605.6239277156,244965.4019252729,247372.3392080532,250304.15041695023,253556.13637626485,256739.29328979133,260339.6556484165,264254.0931462448,268198.0182888824,271830.2898190636,275576.1976734511,279507.69295126555,282620.9023243769,284274.30215131387,284854.4138325433,285974.8213311548,288299.87708870583,291745.86305609765,297627.46369018854,305513.15607944503,314552.9275857405,322836.71233777906,329744.0427258297,335445.4360434127,338965.7392255545,339889.141840606,339094.5395414411,338007.3468288893,337002.03543725976,335786.6292703024,333966.436134984,332704.12302079203,332627.66929158376,333217.8273943017,334339.07499722607,335417.8087566949,336749.0937474077,338152.69251337025,339186.3896392251,339936.831088309,340566.8494717381,341323.0869299438,342787.65096249944,344587.4026461356
18251,117,Garland,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,203748.8606820549,205350.00008242836,206647.63426702615,207153.6799249074,206957.35315611263,206611.58210436744,206768.7920136249,207777.6404176344,209585.67716968877,211877.56277190472,214709.28370248177,217587.8609441961,220976.3975923122,224659.825682931,228548.8094154328,232276.0841023176,235932.10859887427,239685.715236442,242507.6583839261,244158.2046750971,244878.2582552942,246292.2960698756,248839.7602291659,252405.1696514997,258324.8127372733,265911.94217199663,274445.4035752161,282520.8635915428,289396.616722493,295283.54845078714,298978.6227824512,300483.8401684917,300269.8435666233,299302.76641750074,298189.0193932447,296742.34634083015,294972.7678602428,293447.5550608796,292860.12413326907,292881.9179148602,293506.7152323672,294237.0122500072,295222.5400828323,296380.5207479379,297439.2459421114,298291.6994715513,298704.3879844858,298914.8471920284,299349.96489938535,300324.67922925664
16753,136,Amarillo,city,TX,TX,"Amarillo, TX",Randall County,138084.6174086732,138699.36952223384,139408.37530028124,140124.19011426697,140442.24794261833,140710.2618505929,141226.8118386991,142104.32509365547,143440.59694723433,145006.80340419326,146809.92805711142,148394.34017362303,149597.5540211715,150691.1667915701,151950.84711067867,153716.82153171985,156056.6164932621,158964.52254569702,161649.85190940474,163746.12501739466,165136.4583071738,166450.96294567134,167888.98913126206,169347.40764646398,171355.9330303465,174031.19157070876,177363.96376174528,180523.02680287024,182950.3119217516,184958.6393135657,186316.1176939073,186968.7250950126,187018.0508592534,187351.6219999562,188068.14030205537,188829.71550304303,188897.2730682159,188709.00505404617,188462.9126112297,188922.64657651508,189847.41501374936,190971.691805454,191878.07093263837,192652.7701359753,193029.79716907037,193146.6056588237,193042.7087252289,193247.1333996403,193829.6615507557,194789.99776760975
51167,144,Brownsville,city,TX,TX,"Brownsville-Harlingen, TX",Cameron County,109732.20005089232,110547.13879961443,111648.2857736278,112811.0929517803,113739.69574960104,114609.57082054183,115735.62145718827,117367.76541938358,119328.46620471352,120981.4284397788,122582.26676462764,123777.26731441992,125292.9977956961,126793.62993276009,128761.26688296562,131035.43798803476,133705.41664003415,136857.35943827246,139940.31518178756,142389.8871660591,143605.93236804326,144759.08238756668,146402.46416015996,148491.59318138365,150847.7250701106,153160.71428087234,155393.89840002425,157176.4835995366,158747.40724799593,160569.1264643015,161904.2243849051,162735.55935963537,163081.42522731508,164075.52160715798,165197.70754409532,166316.12913690298,167558.52077796086,169270.5819244313,171747.8997289294,174082.7323031665,175639.96990018696,176680.73104775298,177222.73664606782,177997.4030516824,178440.1502205668,178525.5016747717,178222.19222276378,177683.15734189472,178365.96500027078,180139.29445592896
